Model,Price,Year,Transmission,Fuel type,City
Opel Astra G,53000,1999,Механика,Бензин,Джалолиддин Балхи (Руми)
Opel Vectra C,52000,2004,Механика,Бензин + газ,Турсунзаде
Opel Astra F,37000,1996,Механика,Бензин + газ,Яван
Opel Vectra B,55000,2000,Механика,Бензин + газ,Худжанд
Opel Astra G,57000,1998,Механика,Бензин + газ,Душанбе
Opel Zafira,75000,2000,Механика,Бензин + газ,Куляб
Opel Astra G,72000,2008,Механика,Бензин + газ,Яван
Opel Astra F,42000,1993,Механика,Бензин + газ,Душанбе
Opel Astra F,30000,1995,Механика,Бензин + газ,Темурмалик
Opel Zafira,79000,2004,Механика,Бензин + газ,Джайхун (Кумсангир)
Opel Combo,50000,2002,Механика,Бензин + газ,Худжанд
Opel Vectra B,28000,1996,Механика,Бензин,Душанбе
Opel Astra G,60000,1999,Автомат,Бензин,Пенджикент
Opel Vectra A,25000,1995,Механика,Бензин + газ,Душанбе
Opel Vectra A,24499,1990,Механика,Бензин + газ,Гиссар
Opel Astra F,38000,1992,Механика,Бензин + газ,Пенджикент
Opel Astra F,35000,1996,Механика,Бензин + газ,Фархор
Opel Astra F,38000,1997,Механика,Бензин + газ,Хуросон
Opel Astra F,36000,1995,Механика,Бензин + газ,Худжанд
Opel Vectra B,29500,1997,Механика,Бензин + газ,Ашт
Opel Astra H,72000,2007,Механика,Дизель,Гиссар
Opel Antara,67000,2008,Автомат,Бензин + газ,Душанбе
Opel Frontera,52000,2007,Механика,Бензин,Фархор
Opel Astra F,21000,1993,Механика,Газ,Вахдат
Opel Vectra A,30000,1994,Механика,Бензин + газ,Исфара
Opel Astra F,40000,1998,Механика,Бензин,Рудаки
Opel Astra G,55000,1999,Механика,Бензин,Душанбе
Opel Zafira,60000,1999,Механика,Бензин + газ,Спитамен
Opel Vectra A,17000,1991,Механика,Бензин + газ,Гиссар
Opel Astra G,59000,2000,Механика,Бензин + газ,Вахдат
Opel Astra F,25000,1992,Механика,Бензин + газ,Фархор
Opel Astra H,74000,2008,Автомат,Бензин + газ,Душанбе
Opel Astra F,29000,1996,Механика,Бензин + газ,Душанбе
Opel Astra G,59499,1999,Механика,Бензин + газ,Яван
Opel Zafira,85000,2005,Автомат,Бензин + газ,Истаравшан
Opel Astra F,15000,2005,Механика,Бензин,Душанбе
Opel Zafira,80000,2009,Механика,Бензин + газ,Хорог
Opel Vectra B,33000,1996,Механика,Бензин + газ,Душанбе
Opel Astra G,55000,1998,Механика,Бензин + газ,Душанбе
Opel Astra F,45000,1997,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Vectra A,18000,1990,Механика,Бензин + газ,Душанбе
Opel Astra F,28000,1994,Механика,Бензин + газ,Душанбе
Opel Astra G,46500,1997,Автомат,Бензин + газ,Душанбе
Opel Astra G,70000,2002,Автомат,Бензин,Душанбе
Opel Meriva,45000,2003,Механика,Бензин + газ,Душанбе
Opel Astra F,35000,1997,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,35000,1995,Механика,Бензин + газ,Душанбе
Opel Astra H,83000,2008,Механика,Бензин,Турсунзаде
Opel Astra F,32000,1992,Механика,Бензин + газ,Истаравшан
Opel Zafira,75000,2006,Механика,Бензин,Деваштич (Ганчи)
Opel Astra G,70000,2003,Механика,Бензин + газ,Душанбе
Opel Astra H,70000,2006,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Astra F,45000,1997,Механика,Бензин + газ,Душанбе
Opel Vectra B,40000,2000,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Zafira,75000,2006,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,41000,1997,Механика,Бензин,Джалолиддин Балхи (Руми)
Opel Vectra A,15000,1992,Механика,Бензин,Нурабад
Opel Astra F,45000,1997,Механика,Бензин,Худжанд
Opel Astra H,68000,2007,Механика,Бензин + газ,Исфара
Opel Astra F,20000,1992,Механика,Бензин + газ,Душанбе
Opel Astra F,35000,1996,Механика,Бензин + газ,Исфара
Opel Astra F,26000,1993,Механика,Бензин + газ,Худжанд
Opel Astra G,83000,2006,Автомат,Бензин + газ,Худжанд
Opel Astra F,37000,1995,Механика,Бензин + газ,Душанбе
Opel Astra F,25000,1997,Механика,Бензин + газ,Вахдат
Opel Astra G,60000,1999,Механика,Бензин + газ,Душанбе
Opel Astra F,52000,1999,Механика,Бензин + газ,Ховалинг
Opel Zafira,68000,1999,Механика,Бензин + газ,Худжанд
Opel Astra G,69000,2006,Механика,Бензин,Абдурахмони Джоми
Opel Astra F,27000,1994,Механика,Бензин,Вахш
Opel Astra F,29999,1995,Механика,Бензин + газ,Душанбе
Opel Astra F,33500,1996,Механика,Бензин + газ,Куляб
Opel Zafira,56000,2007,Механика,Дизель,Яван
Opel Astra F,28000,1993,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Vectra B,23500,1996,Механика,Бензин + газ,Спитамен
Opel Astra H,78000,2008,Механика,Бензин,Душанбе
Opel Astra H,85000,2006,Автомат,Бензин + газ,Худжанд
Opel Vectra A,25000,1994,Механика,Бензин + газ,Вахдат
Opel Astra G,70000,2003,Механика,Бензин,Яван
Opel Astra F,28000,1995,Механика,Газ,Душанбе
Opel Astra H,80000,2007,Механика,Бензин,Худжанд
Opel Vectra A,27500,1995,Механика,Бензин + газ,Яван
Opel Astra F,35000,1994,Механика,Бензин + газ,Вахдат
Opel Vectra A,30000,1994,Механика,Бензин,Душанбе
Opel Zafira,110000,2006,Механика,Бензин,Худжанд
Opel Astra G,28000,1992,Механика,Бензин + газ,Дангара
Opel Astra H,80500,2006,Механика,Бензин,Куляб
Opel Vectra B,45000,1997,Механика,Бензин + газ,Худжанд
Opel Astra F,30000,1997,Механика,Бензин,Душанбе
Opel Vectra A,17000,1991,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Astra F,36000,1997,Механика,Бензин + газ,Куляб
Opel Astra H,110000,2008,Автомат,Бензин + газ,Турсунзаде
Opel Astra F,36999,1996,Механика,Бензин + газ,Дангара
Opel Astra H,65000,2007,Механика,Бензин,Душанбе
Opel Astra H,82000,2008,Механика,Бензин,Истаравшан
Opel Zafira,78000,2006,Механика,Бензин,Хуросон
Opel Astra F,33000,1996,Механика,Бензин + газ,Душанбе
Opel Vectra A,25000,1991,Механика,Бензин + газ,Бободжон Гафуров
Opel Astra F,29000,1995,Механика,Бензин + газ,Бободжон Гафуров
Opel Zafira,70000,2003,Механика,Бензин + газ,Исфара
Opel Astra G,42500,1998,Механика,Бензин,Душанбе
Opel Astra F,16000,1992,Механика,Бензин + газ,Душанбе
Opel Astra G,49999,1999,Механика,Бензин + газ,Гиссар
Opel Astra G,60000,1999,Механика,Бензин,Яван
Opel Astra G,45000,1998,Механика,Бензин,Душанбе
Opel Vectra A,23000,1990,Механика,Газ,Гиссар
Opel Zafira,57999,1999,Механика,Бензин + газ,Худжанд
Opel Astra H,72000,2006,Механика,Бензин + газ,Куляб
Opel Vectra B,33000,1997,Механика,Бензин + газ,Вахдат
Opel Astra H,70000,2006,Механика,Бензин + газ,Душанбе
Opel Astra G,50000,1998,Механика,Бензин + газ,Зафарабад
Opel Astra F,40000,1996,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Astra F,40500,1997,Механика,Бензин + газ,Турсунзаде
Opel Astra F,42000,1995,Механика,Бензин + газ,Истаравшан
Opel Astra H,74500,2007,Механика,Бензин + газ,Душанбе
Opel Astra G,49000,1998,Механика,Бензин + газ,Бободжон Гафуров
Opel Astra F,26000,1997,Механика,Бензин + газ,Истаравшан
Opel Astra F,25500,1992,Механика,Бензин + газ,Душанбе
Opel Astra G,56000,2006,Механика,Бензин + газ,Худжанд
Opel Astra G,53000,1999,Механика,Бензин + газ,Фархор
Opel Astra H,75000,2008,Механика,Бензин,Душанбе
Opel Astra G,45000,1998,Механика,Бензин + газ,Гиссар
Opel Vectra B,30000,1996,Механика,Бензин + газ,Худжанд
Opel Vectra B,54000,1999,Механика,Бензин,Душанбе
Opel Vectra A,35000,1995,Механика,Бензин + газ,Худжанд
Opel Astra G,47000,1999,Механика,Бензин,Душанбе
Opel Astra F,33000,1996,Механика,Бензин + газ,Пенджикент
Opel Vectra A,18000,1991,Механика,Бензин + газ,Яван
Opel Astra H,72000,2006,Механика,Бензин,Куляб
Opel Zafira,65000,2006,Механика,Дизель,Худжанд
Opel Astra G,62000,2000,Механика,Бензин + газ,Исфара
Opel Vectra A,14000,1993,Механика,Бензин + газ,Яван
Opel Astra F,37600,1998,Механика,Бензин + газ,Бустон (Чкаловск)
Opel Vectra A,35000,1994,Механика,Бензин + газ,Рудаки
Opel Astra F,32999,1993,Механика,Бензин + газ,Пенджикент
Opel Astra F,27000,1995,Механика,Бензин + газ,Фархор
Opel Astra F,15500,1994,Механика,Бензин + газ,Душанбе
Opel Corsa,21000,1993,Механика,Бензин + газ,Душанбе
Opel Astra G,68500,2003,Механика,Бензин + газ,Турсунзаде
Opel Astra F,35000,1997,Механика,Бензин + газ,Куляб
Opel Zafira,60000,2005,Механика,Бензин + газ,Худжанд
Opel Vectra A,42000,1993,Механика,Бензин,Канибадам
Opel Astra F,15000,1994,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Astra H,55000,2008,Механика,Бензин,Джами
Opel Vectra A,36000,1995,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Astra H,70000,2007,Механика,Бензин,Куляб
Opel Zafira,68000,2006,Механика,Бензин,Зафарабад
Opel Zafira,58500,2003,Механика,Бензин + газ,Худжанд
Opel Combo,111000,2017,Механика,Бензин,Худжанд
Opel Vectra A,20000,1994,Механика,Бензин + газ,Яван
Opel Astra F,38000,1993,Механика,Бензин + газ,Истаравшан
Opel Astra H,67000,2005,Механика,Бензин + газ,Худжанд
Opel Astra F,35000,1994,Механика,Бензин + газ,Худжанд
Opel Antara,65000,2007,Механика,Бензин + газ,Душанбе
Opel Astra G,53500,1998,Механика,Бензин,Таджикабад
Opel Vectra B,40000,1997,Механика,Бензин + газ,Спитамен
Opel Astra F,35000,1994,Механика,Бензин + газ,Истаравшан
Opel Combo,125000,2014,Механика,Бензин + газ,Худжанд
Opel Astra F,41111,1996,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,34000,1996,Механика,Бензин,Рашт
Opel Astra G,70000,1998,Механика,Бензин + газ,Худжанд
Opel Zafira,85000,2006,Механика,Бензин + газ,Джаббор Расулов
Opel Astra F,32000,1997,Механика,Бензин + газ,Гиссар
Opel Vectra A,30000,1994,Механика,Бензин + газ,Фархор
Opel Vectra B,19000,1996,Механика,Бензин + газ,Дангара
Opel Astra G,34000,1997,Механика,Бензин,Яван
Opel Astra H,53000,1997,Механика,Бензин + газ,Худжанд
Opel Vectra A,29999,1988,Механика,Бензин + газ,Пенджикент
Opel Astra F,43000,1997,Механика,Бензин,Душанбе
Opel Astra H,63000,2006,Механика,Бензин,Куляб
Opel Vectra B,20000,1993,Механика,Бензин + газ,Вахдат
Opel Astra F,37000,1996,Автомат,Бензин + газ,Куляб
Opel Vectra A,30000,1988,Механика,Бензин + газ,Пенджикент
Opel Zafira,110000,2014,Механика,Дизель,Истаравшан
Opel Antara,69000,2009,Автомат,Бензин,Душанбе
Opel Astra G,55000,1999,Механика,Бензин,Хорог
Opel Insignia,75000,2009,Автомат,Дизель,Вахдат
Opel Astra F,25000,1993,Механика,Бензин + газ,Исфара
Opel Astra F,24000,1992,Механика,Бензин + газ,Ашт
Opel Vectra A,23000,1993,Механика,Бензин + газ,Исфара
Opel Vectra A,25000,1993,Механика,Бензин + газ,Худжанд
Opel Astra G,80000,2002,Механика,Бензин,Ховалинг
Opel Astra G,54000,1999,Механика,Бензин + газ,Истаравшан
Opel Zafira,115000,2014,Механика,Бензин + газ,Бободжон Гафуров
Opel Astra F,26100,1994,Механика,Бензин + газ,Фархор
Opel Zafira,83000,2010,Механика,Дизель,Худжанд
Opel Combo,60000,2008,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Astra F,35500,1994,Механика,Бензин + газ,Худжанд
Opel Astra G,72000,2006,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Astra G,55000,1998,Механика,Бензин + газ,Вахдат
Opel Signum,60000,2004,Механика,Бензин,Душанбе
Opel Astra G,23000,1997,Механика,Газ,Таджикабад
Opel Astra J,99000,2014,Механика,Дизель,Худжанд
Opel Zafira,149000,2018,Автомат,Дизель,Худжанд
Opel Astra F,39500,1997,Механика,Бензин,Вахдат
Opel Zafira,69999,2007,Механика,Дизель,Душанбе
Opel Vectra A,30000,1995,Механика,Бензин,Дангара
Opel Astra F,38000,1997,Механика,Бензин + газ,Истаравшан
Opel Zafira,81000,2007,Автомат,Бензин,Душанбе
Opel Astra G,57000,1999,Механика,Бензин,Дангара
Opel Astra F,35000,1993,Механика,Бензин,Джалолиддин Балхи (Руми)
Opel Zafira,87000,2008,Механика,Бензин + газ,Душанбе
Opel Astra G,75000,2004,Механика,Бензин,Пенджикент
Opel Astra G,46000,1999,Механика,Бензин + газ,Душанбе
Opel Astra G,52000,1999,Механика,Бензин + газ,Душанбе
Opel Astra F,22000,1993,Механика,Бензин + газ,Худжанд
Opel Astra G,61999,2003,Автомат,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra J,95800,2010,Механика,Бензин,Худжанд
Opel Astra F,21000,1992,Механика,Бензин + газ,Пенджикент
Opel Astra H,98000,2009,Механика,Бензин,Душанбе
Opel Zafira,85000,2009,Механика,Бензин,Восе
Opel Astra G,52000,2001,Механика,Бензин + газ,Хорог
Opel Vectra B,37500,1997,Механика,Бензин + газ,Худжанд
Opel Vectra A,20000,1991,Механика,Бензин + газ,Гиссар
Opel Astra F,20000,1992,Механика,Бензин + газ,Душанбе
Opel Zafira,68000,2000,Механика,Бензин + газ,Джаббор Расулов
Opel Astra G,56000,1999,Механика,Бензин + газ,Пенджикент
Opel Vectra A,20000,1994,Механика,Бензин + газ,Исфара
Opel Zafira,72000,2008,Механика,Дизель,Худжанд
Opel Astra G,59500,2000,Механика,Бензин,Душанбе
Opel Astra F,38000,1996,Механика,Бензин + газ,Турсунзаде
Opel Astra G,46000,2001,Механика,Бензин,Восе
Opel Vectra A,15000,1994,Механика,Бензин + газ,Душанбе
Opel Vectra B,23999,1994,Механика,Бензин + газ,Фархор
Opel Astra F,40000,1997,Механика,Бензин + газ,Джалолиддин Балхи (Руми)
Opel Vectra А,21000,1992,Механика,Бензин + газ,Душанбе
Opel Vectra A,16000,1993,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra G,50000,2001,Механика,Бензин,Худжанд
Opel Astra F,35999,1995,Механика,Бензин,Джайхун (Кумсангир)
Opel Astra F,41000,1996,Механика,Бензин + газ,Спитамен
Opel Astra F,32000,1996,Механика,Бензин + газ,Душанбе
Opel Zafira,69999,2004,Механика,Бензин + газ,Пенджикент
Opel Astra G,55000,1999,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,46000,1998,Механика,Бензин + газ,Фархор
Opel Astra G,57000,1998,Автомат,Бензин + газ,Худжанд
Opel Vectra A,15500,1992,Механика,Бензин,Яван
Opel Astra G,75000,1998,Механика,Бензин,Душанбе
Opel Astra F,47000,1997,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Vectra A,37000,1993,Механика,Бензин + газ,Хамадани
Opel Astra G,75000,2000,Механика,Бензин + газ,Душанбе
Opel Astra G,53000,1999,Механика,Бензин + газ,Истаравшан
Opel Astra F,31000,1992,Механика,Бензин + газ,Шахристон
Opel Zafira,77000,2008,Механика,Бензин + газ,Худжанд
Opel Corsa,40000,2010,Механика,Бензин,Душанбе
Opel Zafira,85000,2006,Механика,Бензин + газ,Худжанд
Opel Astra F,43000,1997,Механика,Бензин + газ,Душанбе
Opel Vectra A,53000,1995,Механика,Бензин,Душанбе
Opel Astra F,33000,1995,Механика,Бензин + газ,Душанбе
Opel Combo,70000,2004,Механика,Бензин + газ,Худжанд
Opel Zafira,80000,2007,Механика,Бензин,Кабодиён
Opel Astra G,68000,1999,Механика,Бензин + газ,Бободжон Гафуров
Opel Astra G,62000,2003,Механика,Бензин + газ,Душанбе
Opel Astra G,60000,2000,Механика,Бензин + газ,Зафарабад
Opel Astra F,25000,1992,Механика,Бензин,Восе
Opel Astra G,55000,1999,Механика,Бензин + газ,Душанбе
Opel Astra G,68000,1999,Механика,Бензин + газ,Исфара
Opel Astra F,34000,1993,Механика,Бензин + газ,Худжанд
Opel Astra G,60000,2000,Механика,Бензин,Душанбе
Opel Astra G,58000,2003,Механика,Бензин,Душанбе
Opel Vectra A,30000,1994,Механика,Бензин + газ,Душанбе
Opel Vectra B,37500,1996,Механика,Бензин + газ,Душанбе
Opel Astra G,70000,2004,Автомат,Бензин + газ,Хамадани
Opel Astra G,48000,1998,Механика,Бензин + газ,Зафарабад
Opel Astra F,22999,1992,Механика,Бензин + газ,Душанбе
Opel Vectra B,50000,1999,Автомат,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra G,44000,1999,Механика,Бензин + газ,Вахдат
Opel Astra G,60000,2000,Механика,Бензин + газ,Душанбе
Opel Astra F,25500,1993,Механика,Бензин,Душанбе
Opel Vectra B,60000,2001,Механика,Бензин + газ,Душанбе
Opel Astra G,53000,1999,Механика,Бензин + газ,Куляб
Opel Antara,75000,2007,Механика,Бензин + газ,Файзабад
Opel Astra F,39000,1996,Механика,Бензин + газ,Турсунзаде
Opel Astra F,11999,1992,Механика,Газ,Пенджикент
Opel Astra H,59999,2007,Механика,Бензин,Гиссар
Opel Zafira,60000,2003,Механика,Бензин + газ,Куляб
Opel Zafira,59000,2001,Механика,Бензин + газ,Душанбе
Opel Astra F,35000,1995,Механика,Бензин,Душанбе
Opel Astra G,52000,1999,Механика,Бензин,Джалолиддин Балхи (Руми)
Opel Astra F,40000,1997,Механика,Бензин + газ,Пяндж
Opel Astra H,59000,2006,Механика,Бензин + газ,Куляб
Opel Astra F,35000,1996,Механика,Бензин + газ,Пенджикент
Opel Astra F,30000,1992,Механика,Бензин,Душанбе
Opel Vectra A,40000,1995,Механика,Бензин + газ,Худжанд
Opel Astra G,72000,2008,Механика,Бензин + газ,Душанбе
Opel Zafira,60000,1999,Механика,Бензин + газ,Пенджикент
Opel Zafira,52000,1999,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Zafira,75000,2001,Механика,Бензин,Душанбе
Opel Vectra B,55000,1999,Механика,Бензин + газ,Худжанд
Opel Astra F,36000,1997,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Omega,13000,1994,Механика,Бензин + газ,Гиссар
Opel Vectra A,14500,1995,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,40000,1997,Механика,Бензин + газ,Пенджикент
Opel Astra F,38000,1996,Механика,Бензин + газ,Дангара
Opel Astra F,37000,1997,Механика,Бензин + газ,Нурабад
Opel Astra H,60000,2006,Механика,Бензин,Душанбе
Opel Astra F,35000,1994,Механика,Бензин + газ,Яван
Opel Astra F,37000,1996,Механика,Бензин + газ,Худжанд
Opel Vectra A,23000,1989,Механика,Бензин + газ,Фархор
Opel Astra H,75000,2008,Механика,Бензин + газ,Душанбе
Opel Astra G,65000,2001,Механика,Бензин + газ,Таджикабад
Opel Astra F,35000,1995,Механика,Бензин + газ,Вахдат
Opel Zafira,83000,2006,Механика,Бензин,Худжанд
Opel Astra F,50000,1996,Механика,Бензин + газ,Душанбе
Opel Astra G,57000,1998,Механика,Бензин + газ,Гиссар
Opel Astra H,55000,2007,Механика,Бензин,Гиссар
Opel Astra G,56000,1998,Механика,Бензин,Дусти (Джиликуль)
Opel Astra H,57000,2008,Механика,Бензин,Куляб
Opel Vectra B,29000,1996,Механика,Газ,Душанбе
Opel Vectra B,57000,1999,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Zafira,90000,2009,Механика,Бензин,Худжанд
Opel Astra F,35000,1994,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra H,68000,2008,Механика,Дизель,Душанбе
Opel Astra F,24500,1994,Механика,Бензин + газ,Куляб
Opel Astra F,29999,1992,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Astra F,47000,1997,Механика,Бензин + газ,Хамадани
Opel Astra G,57000,2000,Механика,Бензин,Душанбе
Opel Astra F,27000,1994,Механика,Бензин,Хуросон
Opel Astra F,36000,1994,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,35000,1998,Механика,Бензин + газ,Вахдат
Opel Astra G,58000,1999,Механика,Бензин + газ,Душанбе
Opel Astra F,35000,1997,Механика,Бензин,Вахдат
Opel Astra F,38000,1996,Механика,Бензин + газ,Душанбе
Opel Vectra A,15000,1990,Механика,Бензин + газ,Истаравшан
Opel Astra H,75000,2006,Механика,Бензин,Душанбе
Opel Zafira,90000,2009,Автомат,Бензин,Худжанд
Opel Vectra A,15500,1994,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,30000,1994,Механика,Бензин + газ,Худжанд
Opel Astra G,59000,1999,Механика,Бензин,Душанбе
Opel Zafira,58000,1999,Механика,Бензин + газ,Душанбе
Opel Zafira,60000,2008,Механика,Дизель,Файзабад
Opel Vectra B,64000,1999,Механика,Бензин,Душанбе
Opel Astra G,53000,1998,Механика,Бензин + газ,Куляб
Opel Astra F,43000,1995,Механика,Бензин,Фархор
Opel Astra G,77000,2002,Механика,Бензин + газ,Бободжон Гафуров
Opel Zafira,85000,2006,Механика,Бензин,Абдурахмони Джоми
Opel Astra F,38000,1996,Механика,Бензин + газ,Файзабад
Opel Astra F,48000,1997,Механика,Бензин + газ,Гиссар
Opel Astra G,48000,1999,Механика,Бензин + газ,Душанбе
Opel Astra F,42000,1995,Механика,Бензин,Истаравшан
Opel Astra G,46000,1998,Механика,Бензин + газ,Вахдат
Opel Zafira,90000,2006,Механика,Бензин + газ,Худжанд
Opel Astra F,35000,1997,Механика,Бензин + газ,Фархор
Opel Astra H,90500,2008,Автомат,Бензин + газ,Худжанд
Opel Vectra B,38999,1996,Механика,Бензин + газ,Худжанд
Opel Astra G,75000,2007,Механика,Бензин,Душанбе
Opel Astra G,75000,2007,Механика,Бензин + газ,Душанбе
Opel Zafira,80000,2006,Автомат,Дизель,Худжанд
Opel Astra F,43000,1996,Механика,Бензин + газ,Душанбе
Opel Astra F,38000,1996,Автомат,Бензин,Вахдат
Opel Zafira,60000,2007,Механика,Бензин + газ,Канибадам
Opel Astra F,25000,1993,Механика,Бензин + газ,Вахдат
Opel Vectra B,37000,1996,Механика,Бензин + газ,Душанбе
Opel Astra F,32000,1994,Механика,Бензин + газ,Турсунзаде
Opel Astra G,40000,1999,Механика,Бензин + газ,Душанбе
Opel Vectra A,20000,1991,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Vectra B,40000,1997,Механика,Бензин + газ,Душанбе
Opel Astra H,80000,2007,Механика,Бензин,Вахдат
Opel Astra H,58000,2007,Механика,Бензин + газ,Ашт
Opel Astra G,46000,1999,Механика,Бензин + газ,Вахдат
Opel Astra F,30000,1997,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra G,46000,1999,Механика,Бензин,Душанбе
Opel Vectra B,33500,1996,Механика,Бензин + газ,Душанбе
Opel Astra G,68000,2008,Механика,Бензин,Худжанд
Opel Astra F,23000,1992,Механика,Бензин + газ,Истаравшан
Opel Astra F,47000,1997,Механика,Бензин,Душанбе
Opel Astra H,83000,2008,Механика,Бензин,Душанбе
Opel Vita,32000,2000,Механика,Бензин,Душанбе
Opel Zafira,68000,2006,Механика,Дизель,Бободжон Гафуров
Opel Zafira,75000,2007,Механика,Бензин + газ,Турсунзаде
Opel Astra F,25000,1993,Механика,Бензин + газ,Спитамен
Opel Astra F,35000,1996,Механика,Бензин + газ,Гиссар
Opel Zafira,130000,2012,Автомат,Дизель,Худжанд
Opel Vectra A,22000,1997,Механика,Бензин + газ,Худжанд
Opel Astra H,75000,2009,Механика,Бензин,Душанбе
Opel Vectra A,28000,1994,Механика,Бензин + газ,Душанбе
Opel Astra F,43000,1994,Механика,Бензин + газ,Гиссар
Opel Vectra B,47000,2001,Механика,Бензин + газ,Душанбе
Opel Astra H,88000,2007,Механика,Бензин,Куляб
Opel Vectra B,68000,1999,Механика,Бензин,Худжанд
Opel Astra F,27000,1995,Механика,Бензин + газ,Восе
Opel Astra G,68000,2006,Механика,Бензин + газ,Муминабад
Opel Zafira,105000,2006,Автомат,Бензин + газ,Худжанд
Opel Zafira,65000,1999,Автомат,Бензин + газ,Душанбе
Opel Astra G,52000,2001,Механика,Бензин + газ,Восе
Opel Astra F,44000,1996,Механика,Бензин,Вахдат
Opel Astra F,43000,1993,Механика,Бензин + газ,Худжанд
Opel Astra G,67000,2006,Механика,Бензин,Худжанд
Opel Astra F,24000,1993,Механика,Бензин + газ,Джайхун (Кумсангир)
Opel Astra G,52000,1999,Механика,Бензин + газ,Худжанд
Opel Corsa,25000,2000,Механика,Газ,Худжанд
Opel Astra F,23000,1994,Механика,Газ,Душанбе
Opel Astra G,47000,1999,Механика,Бензин + газ,Душанбе
Opel Astra H,75000,2007,Механика,Бензин + газ,Душанбе
Opel Astra G,45000,1999,Механика,Бензин + газ,Куляб
Opel Astra F,27000,1994,Механика,Бензин,Пенджикент
Opel Astra G,50000,1998,Механика,Бензин + газ,Худжанд
Opel Vectra A,16000,1993,Механика,Бензин + газ,Вахдат
Opel Astra G,60000,2009,Механика,Бензин + газ,Худжанд
Opel Astra G,55000,1998,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Vectra B,35000,1997,Механика,Бензин + газ,Исфара
Opel Vectra A,26000,1993,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Vectra B,24000,1992,Механика,Бензин + газ,Худжанд
Opel Vectra A,23000,1994,Механика,Бензин + газ,Яван
Opel Astra F,25000,1997,Механика,Бензин + газ,Фархор
Opel Zafira,75000,2008,Автомат,Дизель,Пенджикент
Opel Astra F,24000,1994,Механика,Бензин,Айни
Opel Vectra B,30000,1996,Механика,Бензин + газ,Худжанд
Opel Astra G,43000,1998,Механика,Бензин,Душанбе
Opel Zafira,75000,2003,Автомат,Бензин + газ,Матча
Opel Vectra B,18000,1992,Механика,Бензин + газ,Вахдат
Opel Astra F,35000,1997,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,35000,1996,Механика,Бензин,Вахдат
Opel Vectra A,20000,1990,Механика,Бензин + газ,Исфара
Opel Zafira,70000,2002,Автомат,Бензин + газ,Душанбе
Opel Astra F,37000,1996,Механика,Бензин + газ,Душанбе
Opel Zafira,83000,2006,Механика,Бензин + газ,Худжанд
Opel Astra F,34000,1996,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,37000,1996,Механика,Бензин + газ,Турсунзаде
Opel Vectra A,20000,1990,Механика,Бензин + газ,Исфара
Opel Astra G,60000,2000,Механика,Бензин + газ,Душанбе
Opel Vectra A,21500,1993,Механика,Бензин + газ,Яван
Opel Astra G,90000,2003,Автомат,Бензин,Душанбе
Opel Astra G,48000,1998,Механика,Бензин,Душанбе
Opel Vectra A,27000,1995,Механика,Бензин + газ,Яван
Opel Combo,72000,2009,Механика,Дизель,Душанбе
Opel Vectra B,65000,2001,Механика,Бензин + газ,Спитамен
Opel Astra F,26000,1992,Механика,Бензин + газ,Пенджикент
Opel Astra G,59999,2001,Механика,Бензин + газ,Душанбе
Opel Astra H,75000,2006,Механика,Бензин,Куляб
Opel Zafira,57000,1999,Механика,Бензин + газ,Рудаки
Opel Combo,40000,2002,Механика,Бензин + газ,Душанбе
Opel Astra F,25000,1993,Механика,Бензин + газ,Яван
Opel Zafira,60000,2002,Механика,Бензин + газ,Истаравшан
